user_id,ratings_count
39360,2233
145532,2233
290342,2233
98116,2232
92265,2232
31379,2231
35023,2231
47542,2230
10851,2230
283195,2230
315083,2229
154070,2229
146956,2229
190585,2229
208261,2228
144123,2227
173223,2226
104629,2226
50678,2226
283201,2226
62987,2226
286226,2225
163406,2225
42512,2225
154328,2224
258554,2223
245012,2223
148683,2222
81119,2221
305626,2221
315938,2221
135818,2219
255356,2218
303729,2218
106913,2218
305356,2217
76419,2216
334855,2216
291496,2215
21439,2215
163237,2215
287940,2215
247675,2214
129710,2214
334621,2213
174585,2213
216844,2213
67389,2213
9229,2212
291727,2212
296432,2210
328442,2210
321991,2210
102186,2209
111047,2209
96947,2208
13064,2207
281730,2207
114023,2207
57867,2206
290918,2205
111176,2205
192338,2204
105409,2204
125187,2203
96973,2203
234881,2203
145230,2202
136822,2202
195776,2201
285098,2201
185116,2201
146144,2201
88965,2201
296116,2200
10359,2199
52962,2199
105000,2198
195874,2198
346031,2197
280549,2197
197249,2197
288703,2196
210352,2195
219700,2195
257688,2194
210735,2194
44777,2193
272768,2193
170636,2193
44923,2192
204756,2192
11237,2191
200576,2191
78564,2191
160098,2191
153735,2190
340023,2190
163332,2190
16620,2189
319529,2189
347432,2189
37410,2189
313373,2189
59790,2189
24825,2188
227481,2188
96079,2188
295078,2188
100213,2187
132307,2187
11716,2187
10180,2186
121093,2184
211129,2184
146701,2183
19064,2183
287990,2183
41761,2182
25978,2182
271396,2181
252476,2181
209510,2180
185619,2179
218730,2179
229857,2178
345110,2177
54051,2177
312408,2177
296194,2176
139685,2175
324321,2175
20223,2175
57997,2175
280043,2175
281081,2175
302285,2175
323792,2173
76035,2173
129080,2171
234983,2171
254067,2170
330278,2170
334457,2170
188456,2169
146792,2169
51861,2169
201342,2168
106232,2168
28470,2167
298225,2167
320012,2167
31495,2167
72333,2167
285434,2167
287023,2167
259687,2166
325612,2166
37975,2166
176002,2166
256890,2166
163212,2165
29762,2164
312732,2164
131281,2163
32612,2163
179535,2163
306866,2163
173405,2162
217990,2162
326025,2162
76329,2162
51872,2161
182966,2161
323592,2160
5849,2160
17802,2160
46617,2157
23431,2157
112919,2157
269830,2157
51509,2156
29480,2155
169185,2155
61366,2155
23913,2155
139628,2155
274153,2154
183178,2154
75365,2154
185470,2154
28626,2153
347245,2153
6510,2152
35785,2152
206701,2152
21982,2151
246696,2151
265295,2150
29746,2150
37182,2150
34773,2149
28000,2149
943,2148
102337,2148
149188,2148
259249,2148
259485,2147
307724,2146
287309,2146
56164,2146
312591,2145
53566,2144
157288,2144
197098,2143
344533,2143
297100,2143
249664,2143
222233,2142
47595,2141
98067,2141
237009,2141
126028,2141
71105,2141
277551,2141
227867,2140
28505,2140
190986,2140
308705,2140
135215,2140
207201,2140
209345,2139
4485,2139
294562,2139
225457,2139
220723,2139
267223,2138
215273,2138
12191,2138
74330,2137
134273,2137
32656,2137
209657,2137
188964,2137
306007,2136
159431,2136
276910,2135
352478,2135
164842,2134
133738,2134
21610,2134
330644,2133
130219,2133
3287,2132
271305,2132
154317,2132
75910,2132
274173,2132
208752,2132
51952,2131
60929,2131
175419,2130
114024,2130
95231,2130
216043,2129
2136,2129
90847,2128
128945,2128
310955,2128
37584,2127
344030,2127
164139,2127
6951,2126
251874,2126
209094,2126
199618,2126
249140,2126
285339,2126
22930,2125
912,2125
225887,2125
105884,2124
169501,2123
81586,2123
352922,2123
273377,2123
328184,2122
348612,2122
307931,2121
306122,2121
239632,2121
285766,2121
299042,2121
20546,2120
290161,2120
122764,2120
127763,2120
231441,2120
296185,2119
59919,2119
27413,2119
173926,2118
253913,2118
139367,2118
73527,2118
1493,2118
248675,2117
317122,2117
300360,2117
255469,2117
349706,2116
234050,2116
176469,2116
97596,2116
328243,2116
268676,2116
62301,2115
49270,2115
259542,2115
80535,2115
346939,2115
326638,2114
39500,2114
79586,2114
95060,2114
37696,2113
24000,2113
138631,2113
131420,2113
35118,2112
211554,2112
83919,2111
145003,2109
236706,2108
349330,2108
87622,2107
187903,2107
25838,2107
233360,2106
308217,2106
155325,2105
25120,2105
292425,2105
100165,2105
148091,2104
223955,2104
175411,2104
174893,2104
214737,2104
350078,2104
57106,2104
131562,2103
31595,2103
30640,2103
11784,2102
337507,2102
137319,2102
161354,2101
159427,2100
86448,2100
191107,2099
148206,2099
43279,2099
103781,2099
74873,2097
40547,2097
289506,2095
321054,2095
346045,2094
138326,2094
18537,2094
76537,2093
204631,2093
350648,2093
124766,2093
224841,2092
276591,2092
129669,2092
124806,2092
343330,2092
294156,2092
23895,2091
171160,2091
102600,2090
37630,2090
207212,2090
198790,2090
145082,2089
90463,2088
52598,2088
202016,2088
21957,2087
159977,2086
201848,2086
305731,2086
266927,2085
34536,2085
84121,2085
134741,2085
345689,2084
83408,2084
129926,2084
147236,2084
57465,2084
264286,2083
85582,2083
9769,2083
140191,2083
96029,2083
343036,2083
291205,2082
156950,2082
50981,2082
181148,2082
127632,2082
165734,2082
52784,2082
56485,2082
8354,2081
142146,2081
267187,2081
347215,2081
230079,2080
262605,2080
217505,2080
103802,2079
217758,2079
243252,2078
179403,2078
134737,2078
316498,2078
257744,2077
10869,2077
55704,2077
80314,2076
130770,2076
291676,2076
9740,2076
48420,2075
280192,2075
53937,2075
190025,2075
47426,2075
223742,2075
331013,2074
228663,2074
35335,2074
75397,2074
214217,2074
165150,2072
162953,2071
56070,2071
167936,2071
60533,2071
316221,2070
